Year	cd	State Code	State Name	Conccat	Bachelors_degree_or_higher	high_school_or_some_degree	Less_than_high_school_graduate	Less_than_$5000	$5000_to_$9999	$10000_to_$14999	$15000_to_$19999	$20000_to_$24999	$25000_to_$34999	$35000_to_$49999	$50000_to_$74999	$75000_to_$99999	$100000_to_$149999	$150000_or_more	Total_Agriculture_forestry_fishing_hunting_mining	Total_Construction	Total_Manufacturing	Total_Wholesale_trade	Total_Retail_trade	Total_Transportation_warehousing_utilities	Total_Information	Total_Finance_insurance_realestate_rental_leasing	Total_Professional_scientific_management_administrative_waste_management_services	Total_Educationalservices_healthcare_socialassistance	Total_Arts_entertainment_recreation_accommodation_foodservices	Total_Otherservices_except_Public_administration	Total_Public_administration	Male	Male_Agriculture_forestry_fishing_hunting_mining	Male_Construction	Male_Manufacturing	Male_Wholesale_trade	Male_Retail_trade	Male_Transportation_warehousing_utilities	Male_Information	Male_Finance_insurance_realestate_rental_leasing	Male_Professional_scientific_management_administrative_waste_management_services	Male_Educationalservices_healthcare_socialassistance	Male_Arts_entertainment_recreation_accommodation_foodservices	Male_Otherservices_except_Public_administration	Male_Public_administration	Female	Female_Agriculture_forestry_fishing_hunting_mining	Female_Construction	Female_Manufacturing	Female_Wholesale_trade	Female_Retail_trade	Female_Transportation_warehousing_utilities	Female_Information	Female_Finance_insurance_realestate_rental_leasing	Female_Professional_scientific_management_administrative_waste_management_services	Female_Educationalservices_healthcare_socialassistance	Female_Arts_entertainment_recreation_accommodation_foodservices	Female_Otherservices_except_Public_administration	Female_Public_administration
2020	0_AK	AK	Alaska	20200_AK	121098	309698	33572	5949	3869	7476	8007	7831	17154	25802	46592	36099	49201		9356	14933	7705	4972	21574	21114	5057	10075	18855	52808	13968	9662		125700	7419	12927	5819	3780	12975	15469	3331	4151	10966	16999	7743	5947	18174	97172	1937	2006	1886	1192	8599	5645	1726		7889		6225	3715	14619
2020	0_DC	DC	District of Columbia	20200_DC	277816	177505	34652	14227	9856	11315	8300	7315	15997	20898	35788	30691	47177		416	8006	3575	1890	9933	9202	11639	20798	75060	47443	20479	28606	57644	146269	149	6499	2069	1437	5256	6529	5874	12041		16308	10740	11287	27933	148422	267	1507		453	4677	2673	5765	8757	34913	31135	9739	17319	29711
2020	0_DE	DE	Delaware		175338		57053	11230	7995	13075	11259	14349	33090	43699	66050	51577		56874	3645	24976	32050	7650	30820	19516	4432	37001	33392	79847	18158	11442	23033	176114	2731	22678			17814	15267	2710	17025	19601	21534	10340	6805	12163	149848	914	2298	9993	2261	13006	4249	1722	19976	13791		7818	4637	10870
2020		ND	North Dakota	20200_ND	137958	303148	26631	9007	9189	12780	12625	13199	27237		60184	45490	54662	39572	29785	22382	22700	11306	27772	17548	3772	18933	19049	67470	14142	11231	16725	166167	26579	19879	17305	9231	16486	14587	2321	7620	10802	17287		7151	9242	116648	3206	2503	5395	2075	11286	2961		11313	8247	50183	6465	4080	7483
2020	0_PR	PR	Puerto Rico	20200_PR	121098	309698	33572	178865	139225	140660	122422	98327	149667	144417	122747	51495	35001	22464	5799		73286	23297	70781	29351	12979	45821	65406	165901	42288	29809	78393	369398	4960	31028	45810	17635	40107	23265	7968	18866	42714	47202	26536		42735	307298	839		27476		30674	6086	5011	26955	22692	118699	15752		35658
2020	0_SD		South Dakota	20200_SD	140300	324334	41808	8909	9235	14021	13936	15406	33862	46171	64955	49841	51448	32414	22778	23350		10346	30482	15200	4793	26846		70506	18096	12944	19058	179248			26915	8412	18085	11991	2592	11331	11642	18497	9592	7715	10649	132876	2490	1811	10021	1934	12397	3209	2201	15515	9147	52009	8504	5229	8409
2020	0_VT	VT	Vermont		138230	224524	25013	6249	5675	12907	11082	11572	23388	32383	48075	36571	42955	31923	6165	16871	28542	5167	21638	7516	3632	12658	20751	59583	14732	8340	13443	120783	4823	15386	20613	4115	12770	6032	2260	5032	12494	18477	7938	4496	6347	98255	1342	1485	7929	1052	8868	1484	1372		8257	41106	6794	3844	7096
2020	0_WY	WY	Wyoming	20200_WY	81191	217060	22529	5405	5522	7731	8990	8139	18540	25746	39009	31622	37003	24211	23965	15244	9266	4269	18425	13224	2582	9280	11534	43997	11637	6745	14716	109597	20709	13718	7565	3401		11153	1643	2916	6951		6443	4315	7654	75287	3256	1526	1701	868	8435	2071	939	6364	4583	30858	5194	2430	7062
2020		AL	Alabama	20201_AL	96025	250831	44764	10004	9639	13189	14430	11872	26002	34675	44436	30223	33155	23487	3370	17515	28812	6151	22416	13111	2983	14101	21717	45947	13434	9445	11651	116906	2624	15138	23408	4576		10764		6104	12905	9604	6419	4894	6613	93747	746	2377	5404	1575	10653		889	7997	8812	36343	7015	4551	5038
2020	1_AR	AR	Arkansas	20201_AR	95999	398584	69560	14442	18060	26423	25372	25031	44107	55545	68984	41490	38297	21077	11498	18772	48078	8303	31436	20966	3847	14908	14877	69993	11735	11251	18798	154384	10407	17486	34430		17247	16366	2467	5405	7893	15015	5030	6897	9466	130078	1091		13648	2028	14189	4600	1380	9503	6984	54978	6705	4354	9332
2020	1_AZ	AZ	Arizona	20201_AZ	238202	283685	48500	11733	7087	11293	12478	15444	28335	46593	63515	48041	60920	82066	1540		23483	9655	33953	14497	7346	49737	59841	70357	24565	14181	13446	196906	1169	18427	17416		19528	10445	4696	26789	37436	24412	14488	7481		146809	371	2687	6067	2273	14425	4052	2650	22948	22405	45945	10077	6700	6209
2020	1_CA	CA	California	20201_CA	79809	276511	54594	9173	6034	15627	13220	13391	25312	33975	45223	32441	34964	28040	11882	14189	14558	4795	20831	10337	2874	8721	16035	41444	10609	7319	16276	104069	9406	12654	11259	3870	12845	8415	1936	3462	9882	11315		4437	9081	75801	2476	1535		925	7986	1922	938	5259	6153	30129	5102		7195
	1_CO	CO	Colorado	20201_CO	181848	153419	34408	6742	6075	7342	7069	7064	15416	23137	37751	26530	36180			16230	13916	6488	17220	9986	8029	23209	45299	46180	17693	10034	10064	126295			10133	4576	9717	7418	5371	12578	27220			3985	4936	100857	876	1585		1912		2568	2658	10631		32141	7944	6049	
2020	1_CT	CT	Connecticut	20201_CT	150423	239202	38823	9441	7739	11173	10039	9656	20609	29342	43985	35909	48881	48860	463	14377	30639	6377	20313	13421	4884	30494		60478	11745	10258	14141	134062	337	13316	22101	4775	12028	9784	3156	13755	17445		6276	5197	8211	112021	126	1061	8538	1602	8285	3637	1728	16739	11048	42797		5061	5930
2020	1_FL	FL	Florida	20201_FL	125418	312255	45602	8010	7195	10979	11988		29766	40950	56641	41047	45418	32179	1560	18820	12934	5060	25318	12858	2764	23219	30452	48261	20935	8758		132156	1264	16969	10313	3907	13976	9723	1679	10500	20327	12872	11169	4940	14517	101207	296	1851	2621	1153	11342	3135	1085	12719	10125	35389	9766	3818	7907
2020	1_GA	GA	Georgia	20201_GA	110086	305345	54976	10470	8928	13177	14053	14825	27427	40155	51144	37251	40395	26983	3075	18481	30139	6059	23066	20669	3720	12549	23219	54421	17987	8995	20242		2685	16605	23582	4508	12284		2331	4964	13529	10751	9265	4887	12376	109498	390	1876	6557	1551	10782	5312	1389	7585	9690	43670		4108	7866
2020	1_HI	HI	Hawaii	20201_HI	163182	293697	28371	6389	5325	6472	5642	6950	15234	25847	43514	35778		61272	1409	20614	10154	6841	26881	20114	4524	21087	29071	59301	33970	9813	35112	151906	937	17947	7314	4706	13139	13894	2620	9459	17546	19362	18871	4445	21666	126985	472	2667	2840		13742	6220	1904	11628	11525	39939	15099	5368	13446
2020		IA	Iowa	20201_IA	152314	339608	36708	9807	10478	14431	15126	15925	32444	46229	65023	47710	55129	36880	9055	21955	60922	8240	27965	16587	3464	24834	22016	73316	12339	11929	12163	173333	7915	20116	45002	6200	16132	13544	1862	9631	12453	20293	6580	6866	6739		1140	1839	15920	2040	11833	3043	1602	15203	9563	53023	5759	5063	5424
2020	1_ID	ID	Idaho	20201_ID	165129	408805		10843	8891	15426		18000	37875	56290	85322	53592		41227	12673	31195	40669	10636	38462	18801	5660	22876	33075	68442	17409	14379	23393	202660	10802	28350	30647	8311	21795	15506	3586	10364	20635	20735	9339	9014	13576	135010	1871	2845	10022	2325	16667	3295	2074	12512	12440	47707		5365	9817
2020	1_IL		Illinois	20201_IL	41924	48633	5788	2418	1597	1970	1662	1601	2924	4523	7757	6181	12457		73	3786	5250	1528	4265	3542	1296	6010	8457	13265	2393	1918	2120	29557	62	3345	3825	976	2336	2612	743	2855	5060	3948	1142	1160	1493	24346	11	441	1425	552			553	3155		9317	1251	758	627
